"film_id","actor_id","title","first_name","last_name","rental_duration","rental_rate","length","replacement_cost","rating"
441,3,"Hunter Alter","Ed","Chase",5,2.99,125,21.99,"PG-13"
453,3,"Image Princess","Ed","Chase",3,2.99,178,17.99,"PG-13"
480,3,"Jeepers Wedding","Ed","Chase",3,2.99,84,29.99,"R"
539,3,"Luck Opus","Ed","Chase",7,2.99,152,21.99,"NC-17"
618,3,"Necklace Outbreak","Ed","Chase",3,0.99,132,21.99,"PG"
685,3,"Platoon Instinct","Ed","Chase",6,4.99,132,10.99,"PG-13"
827,3,"Spice Sorority","Ed","Chase",5,4.99,141,22.99,"NC-17"
966,3,"Wedding Apollo","Ed","Chase",3,0.99,70,14.99,"PG"
967,3,"Weekend Personal","Ed","Chase",5,2.99,134,26.99,"R"
971,3,"Whale Bikini","Ed","Chase",4,4.99,109,11.99,"PG-13"
996,3,"Young Language","Ed","Chase",6,0.99,183,9.99,"G"
23,4,"Anaconda Confessions","Jennifer","Davis",3,0.99,92,9.99,"R"
25,4,"Angels Life","Jennifer","Davis",3,2.99,74,15.99,"G"
56,4,"Barefoot Manchurian","Jennifer","Davis",6,2.99,129,15.99,"G"
62,4,"Bed Highball","Jennifer","Davis",5,2.99,106,23.99,"NC-17"
79,4,"Blade Polish","Jennifer","Davis",5,0.99,114,10.99,"PG-13"
87,4,"Boondock Ballroom","Jennifer","Davis",7,0.99,76,14.99,"NC-17"
355,4,"Ghostbusters Elf","Jennifer","Davis",7,0.99,101,18.99,"R"
379,4,"Greedy Roots","Jennifer","Davis",7,0.99,166,14.99,"R"
398,4,"Hanover Galaxy","Jennifer","Davis",5,4.99,47,21.99,"NC-17"
463,4,"Instinct Airport","Jennifer","Davis",4,2.99,116,21.99,"PG"
490,4,"Jumanji Blade","Jennifer","Davis",4,2.99,121,13.99,"G"
616,4,"National Story","Jennifer","Davis",4,2.99,92,19.99,"NC-17"
635,4,"Oklahoma Jumanji","Jennifer","Davis",7,0.99,58,15.99,"PG"
691,4,"Poseidon Forever","Jennifer","Davis",6,4.99,159,29.99,"PG-13"
712,4,"Raiders Antitrust","Jennifer","Davis",4,0.99,82,11.99,"PG-13"
714,4,"Random Go","Jennifer","Davis",6,2.99,73,29.99,"NC-17"
721,4,"Reds Pocus","Jennifer","Davis",7,4.99,182,23.99,"PG-13"
798,4,"Silverado Goldfinger","Jennifer","Davis",4,4.99,74,11.99,"PG"
832,4,"Splash Gump","Jennifer","Davis",5,0.99,175,16.99,"PG"
858,4,"Submarine Bed","Jennifer","Davis",5,4.99,127,21.99,"R"
909,4,"Treasure Command","Jennifer","Davis",3,0.99,102,28.99,"PG-13"
924,4,"Unforgiven Zoolander","Jennifer","Davis",7,0.99,129,15.99,"PG"
19,5,"Amadeus Holy","Johnny","Lollobrigida",6,0.99,113,20.99,"PG"
54,5,"Banger Pinocchio","Johnny","Lollobrigida",5,0.99,113,15.99,"R"
85,5,"Bonnie Holocaust","Johnny","Lollobrigida",4,0.99,63,29.99,"G"
146,5,"Chitty Lock","Johnny","Lollobrigida",6,2.99,107,24.99,"G"
171,5,"Commandments Express","Johnny","Lollobrigida",6,4.99,59,13.99,"R"
172,5,"Coneheads Smoochy","Johnny","Lollobrigida",7,4.99,112,12.99,"NC-17"
202,5,"Daddy Pittsburgh","Johnny","Lollobrigida",5,4.99,161,26.99,"G"
203,5,"Daisy Menagerie","Johnny","Lollobrigida",5,4.99,84,9.99,"G"
286,5,"Enough Raging","Johnny","Lollobrigida",7,2.99,158,16.99,"NC-17"
288,5,"Escape Metropolis","Johnny","Lollobrigida",7,2.99,167,20.99,"R"
316,5,"Fire Wolves","Johnny","Lollobrigida",5,4.99,173,18.99,"R"
340,5,"Frontier Cabin","Johnny","Lollobrigida",6,4.99,183,14.99,"PG-13"
369,5,"Goodfellas Salute","Johnny","Lollobrigida",4,4.99,56,22.99,"PG"
375,5,"Grail Frankenstein","Johnny","Lollobrigida",4,2.99,85,17.99,"NC-17"
383,5,"Groove Fiction","Johnny","Lollobrigida",6,0.99,111,13.99,"NC-17"
392,5,"Hall Cassidy","Johnny","Lollobrigida",5,4.99,51,13.99,"NC-17"
411,5,"Heavenly Gun","Johnny","Lollobrigida",5,4.99,49,13.99,"NC-17"
503,5,"Kramer Chocolate","Johnny","Lollobrigida",3,2.99,171,24.99,"R"
535,5,"Love Suicides","Johnny","Lollobrigida",6,0.99,181,21.99,"R"
571,5,"Metal Armageddon","Johnny","Lollobrigida",6,2.99,161,26.99,"PG-13"
650,5,"Pacific Amistad","Johnny","Lollobrigida",3,0.99,144,27.99,"G"
665,5,"Patton Interview","Johnny","Lollobrigida",4,2.99,175,22.99,"PG"
687,5,"Pocus Pulp","Johnny","Lollobrigida",6,0.99,138,15.99,"NC-17"
730,5,"Ridgemont Submarine","Johnny","Lollobrigida",3,0.99,46,28.99,"PG-13"
732,5,"Rings Heartbreakers","Johnny","Lollobrigida",5,0.99,58,17.99,"G"
811,5,"Smile Earring","Johnny","Lollobrigida",4,2.99,60,29.99,"G"
817,5,"Soldiers Evolution","Johnny","Lollobrigida",7,4.99,185,27.99,"R"
841,5,"Star Operation","Johnny","Lollobrigida",5,2.99,181,9.99,"PG"
865,5,"Sunrise League","Johnny","Lollobrigida",3,4.99,135,19.99,"PG-13"
29,6,"Antitrust Tomatoes","Bette","Nicholson",5,2.99,168,11.99,"NC-17"
53,6,"Bang Kwai","Bette","Nicholson",5,2.99,87,25.99,"NC-17"
60,6,"Beast Hunchback","Bette","Nicholson",3,4.99,89,22.99,"R"
70,6,"Bikini Borrowers","Bette","Nicholson",7,4.99,142,26.99,"NC-17"
112,6,"Calendar Gunfight","Bette","Nicholson",4,4.99,120,22.99,"NC-17"
164,6,"Coast Rainbow","Bette","Nicholson",4,0.99,55,20.99,"PG"
165,6,"Coldblooded Darling","Bette","Nicholson",7,4.99,70,27.99,"G"
193,6,"Crossroads Casualties","Bette","Nicholson",5,2.99,153,20.99,"G"
256,6,"Drop Waterfront","Bette","Nicholson",6,4.99,178,20.99,"R"
451,6,"Igby Maker","Bette","Nicholson",7,4.99,160,12.99,"NC-17"
503,6,"Kramer Chocolate","Bette","Nicholson",3,2.99,171,24.99,"R"
509,6,"Language Cowboy","Bette","Nicholson",5,0.99,78,26.99,"NC-17"
517,6,"Lesson Cleopatra","Bette","Nicholson",3,0.99,167,28.99,"NC-17"
519,6,"Liberty Magnificent","Bette","Nicholson",3,2.99,138,27.99,"G"
605,6,"Mulholland Beast","Bette","Nicholson",7,2.99,157,13.99,"PG"
692,6,"Potluck Mixed","Bette","Nicholson",3,2.99,179,10.99,"G"
826,6,"Speed Suit","Bette","Nicholson",7,4.99,124,19.99,"PG-13"
892,6,"Titanic Boondock","Bette","Nicholson",3,4.99,104,18.99,"R"
902,6,"Trading Pinocchio","Bette","Nicholson",6,4.99,170,22.99,"PG"
994,6,"Wyoming Storm","Bette","Nicholson",6,4.99,100,29.99,"PG-13"
25,7,"Angels Life","Grace","Mostel",3,2.99,74,15.99,"G"
27,7,"Anonymous Human","Grace","Mostel",7,0.99,179,12.99,"NC-17"
35,7,"Arachnophobia Rollercoaster","Grace","Mostel",4,2.99,147,24.99,"PG-13"
67,7,"Berets Agent","Grace","Mostel",5,2.99,77,24.99,"PG-13"
96,7,"Breaking Home","Grace","Mostel",4,2.99,169,21.99,"PG-13"
170,7,"Command Darling","Grace","Mostel",5,4.99,120,28.99,"PG-13"
173,7,"Confessions Maguire","Grace","Mostel",7,4.99,65,25.99,"PG-13"
217,7,"Dazed Punk","Grace","Mostel",6,4.99,120,20.99,"G"
218,7,"Deceiver Betrayed","Grace","Mostel",7,0.99,122,22.99,"NC-17"
225,7,"Destination Jerk","Grace","Mostel",3,0.99,76,19.99,"PG-13"
292,7,"Excitement Eve","Grace","Mostel",3,0.99,51,20.99,"G"
351,7,"Gaslight Crusade","Grace","Mostel",4,2.99,106,10.99,"PG"
414,7,"Hellfighters Sierra","Grace","Mostel",3,2.99,75,23.99,"PG"
463,7,"Instinct Airport","Grace","Mostel",4,2.99,116,21.99,"PG"
554,7,"Malkovich Pet","Grace","Mostel",6,2.99,159,22.99,"G"
618,7,"Necklace Outbreak","Grace","Mostel",3,0.99,132,21.99,"PG"
633,7,"October Submarine","Grace","Mostel",6,4.99,54,10.99,"PG-13"
637,7,"Open African","Grace","Mostel",7,4.99,131,16.99,"PG"
691,7,"Poseidon Forever","Grace","Mostel",6,4.99,159,29.99,"PG-13"
758,7,"Saints Bride","Grace","Mostel",5,2.99,125,11.99,"G"
766,7,"Savannah Town","Grace","Mostel",5,0.99,84,25.99,"PG-13"
770,7,"Scissorhands Slums","Grace","Mostel",5,2.99,147,13.99,"G"
805,7,"Sleepless Monsoon","Grace","Mostel",5,4.99,64,12.99,"G"
806,7,"Sleepy Japanese","Grace","Mostel",4,2.99,137,25.99,"PG"
846,7,"Sting Personal","Grace","Mostel",3,4.99,93,9.99,"NC-17"
900,7,"Town Ark","Grace","Mostel",6,2.99,136,17.99,"R"
901,7,"Tracy Cider","Grace","Mostel",3,0.99,142,29.99,"G"
910,7,"Treatment Jekyll","Grace","Mostel",3,0.99,87,19.99,"PG"
957,7,"War Notting","Grace","Mostel",7,4.99,80,26.99,"G"
959,7,"Warlock Werewolf","Grace","Mostel",6,2.99,83,10.99,"G"
47,8,"Baby Hall","Matthew","Johansson",5,4.99,153,23.99,"NC-17"
115,8,"Campus Remember","Matthew","Johansson",5,2.99,167,27.99,"R"
158,8,"Clones Pinocchio","Matthew","Johansson",6,2.99,124,16.99,"R"
179,8,"Conquerer Nuts","Matthew","Johansson",4,4.99,173,14.99,"G"
195,8,"Crowds Telemark","Matthew","Johansson",3,4.99,112,16.99,"R"
205,8,"Dances None","Matthew","Johansson",3,0.99,58,22.99,"NC-17"
255,8,"Driving Polish","Matthew","Johansson",6,4.99,175,21.99,"NC-17"
263,8,"Durham Panky","Matthew","Johansson",6,4.99,154,14.99,"R"
321,8,"Flash Wars","Matthew","Johansson",3,4.99,123,21.99,"NC-17"
396,8,"Hanging Deep","Matthew","Johansson",5,4.99,62,18.99,"G"
458,8,"Indian Love","Matthew","Johansson",4,0.99,135,26.99,"NC-17"
523,8,"Lights Deer","Matthew","Johansson",7,0.99,174,21.99,"R"
532,8,"Loser Hustler","Matthew","Johansson",5,4.99,80,28.99,"PG"
554,8,"Malkovich Pet","Matthew","Johansson",6,2.99,159,22.99,"G"
752,8,"Runner Madigan","Matthew","Johansson",6,0.99,101,27.99,"NC-17"
769,8,"School Jacket","Matthew","Johansson",5,4.99,151,21.99,"PG-13"
771,8,"Scorpion Apollo","Matthew","Johansson",3,4.99,137,23.99,"NC-17"
859,8,"Sugar Wonka","Matthew","Johansson",3,4.99,114,20.99,"PG"
895,8,"Tomorrow Hustler","Matthew","Johansson",3,2.99,142,21.99,"R"
936,8,"Vanishing Rocky","Matthew","Johansson",3,2.99,123,21.99,"NC-17"
30,9,"Anything Savannah","Joe","Swank",4,2.99,82,27.99,"R"
74,9,"Birch Antitrust","Joe","Swank",4,4.99,162,18.99,"PG"
147,9,"Chocolat Harry","Joe","Swank",5,0.99,101,16.99,"NC-17"
148,9,"Chocolate Duck","Joe","Swank",3,2.99,132,13.99,"R"
191,9,"Crooked Frogmen","Joe","Swank",6,0.99,143,27.99,"PG-13"
200,9,"Curtain Videotape","Joe","Swank",7,0.99,133,27.99,"PG-13"
204,9,"Dalmations Sweden","Joe","Swank",4,0.99,106,25.99,"PG"
434,9,"Horror Reign","Joe","Swank",3,0.99,139,25.99,"R"
510,9,"Lawless Vision","Joe","Swank",6,4.99,181,29.99,"G"
514,9,"Lebowski Soldiers","Joe","Swank",6,2.99,69,17.99,"PG-13"
552,9,"Majestic Floats","Joe","Swank",5,0.99,130,15.99,"PG"
650,9,"Pacific Amistad","Joe","Swank",3,0.99,144,27.99,"G"
671,9,"Perdition Fargo","Joe","Swank",7,4.99,99,27.99,"NC-17"
697,9,"Primary Glass","Joe","Swank",7,0.99,53,16.99,"G"
722,9,"Reef Salute","Joe","Swank",5,0.99,123,26.99,"NC-17"
752,9,"Runner Madigan","Joe","Swank",6,0.99,101,27.99,"NC-17"
811,9,"Smile Earring","Joe","Swank",4,2.99,60,29.99,"G"
815,9,"Snatchers Montezuma","Joe","Swank",4,2.99,74,14.99,"PG-13"
865,9,"Sunrise League","Joe","Swank",3,4.99,135,19.99,"PG-13"
873,9,"Sweethearts Suspects","Joe","Swank",3,0.99,108,13.99,"G"
889,9,"Ties Hunger","Joe","Swank",3,4.99,111,28.99,"R"
903,9,"Traffic Hobbit","Joe","Swank",5,4.99,139,13.99,"G"
926,9,"Untouchables Sunrise","Joe","Swank",5,2.99,120,11.99,"NC-17"
964,9,"Waterfront Deliverance","Joe","Swank",4,4.99,61,17.99,"G"
974,9,"Wild Apollo","Joe","Swank",4,0.99,181,24.99,"R"
1,10,"Academy Dinosaur","Christian","Gable",6,0.99,86,20.99,"PG"
9,10,"Alabama Devil","Christian","Gable",3,2.99,114,21.99,"PG-13"
191,10,"Crooked Frogmen","Christian","Gable",6,0.99,143,27.99,"PG-13"
236,10,"Divine Resurrection","Christian","Gable",4,2.99,100,19.99,"R"
251,10,"Dragonfly Strangers","Christian","Gable",6,4.99,133,19.99,"NC-17"
366,10,"Goldfinger Sensibility","Christian","Gable",3,0.99,93,29.99,"G"
477,10,"Jawbreaker Brooklyn","Christian","Gable",5,0.99,118,15.99,"PG"
480,10,"Jeepers Wedding","Christian","Gable",3,2.99,84,29.99,"R"
522,10,"Life Twisted","Christian","Gable",4,2.99,137,9.99,"NC-17"
530,10,"Lord Arizona","Christian","Gable",5,2.99,108,27.99,"PG-13"
587,10,"Mod Secretary","Christian","Gable",6,4.99,77,20.99,"NC-17"
694,10,"Prejudice Oleander","Christian","Gable",6,4.99,98,15.99,"PG-13"
703,10,"Punk Divorce","Christian","Gable",6,4.99,100,18.99,"PG"
716,10,"Reap Unfaithful","Christian","Gable",6,2.99,136,26.99,"PG-13"
782,10,"Shakespeare Saddle","Christian","Gable",6,2.99,60,26.99,"PG-13"
914,10,"Trouble Date","Christian","Gable",6,2.99,61,13.99,"PG"
929,10,"Usual Untouchables","Christian","Gable",5,4.99,128,21.99,"PG-13"
930,10,"Vacation Boondock","Christian","Gable",4,2.99,145,23.99,"R"
964,10,"Waterfront Deliverance","Christian","Gable",4,4.99,61,17.99,"G"
966,10,"Wedding Apollo","Christian","Gable",3,0.99,70,14.99,"PG"
980,10,"Wizard Coldblooded","Christian","Gable",4,4.99,75,12.99,"PG"
983,10,"Won Dares","Christian","Gable",7,2.99,105,18.99,"PG"
118,11,"Canyon Stock","Zero","Cage",7,0.99,85,26.99,"R"
205,11,"Dances None","Zero","Cage",3,0.99,58,22.99,"NC-17"
281,11,"Encino Elf","Zero","Cage",6,0.99,143,9.99,"G"
283,11,"Ending Crowds","Zero","Cage",6,0.99,85,10.99,"NC-17"
348,11,"Gandhi Kwai","Zero","Cage",7,0.99,86,9.99,"PG-13"
364,11,"Godfather Diary","Zero","Cage",3,2.99,73,14.99,"NC-17"
395,11,"Handicap Boondock","Zero","Cage",4,0.99,108,28.99,"R"
429,11,"Honey Ties","Zero","Cage",3,0.99,84,29.99,"R"
433,11,"Horn Working","Zero","Cage",4,2.99,95,23.99,"PG"
453,11,"Image Princess","Zero","Cage",3,2.99,178,17.99,"PG-13"
485,11,"Jersey Sassy","Zero","Cage",6,4.99,60,16.99,"PG"
532,11,"Loser Hustler","Zero","Cage",5,4.99,80,28.99,"PG"
567,11,"Meet Chocolate","Zero","Cage",3,2.99,80,26.99,"G"
587,11,"Mod Secretary","Zero","Cage",6,4.99,77,20.99,"NC-17"
597,11,"Moonwalker Fool","Zero","Cage",5,4.99,184,12.99,"G"
636,11,"Oleander Clue","Zero","Cage",5,0.99,161,12.99,"PG"
709,11,"Racer Egg","Zero","Cage",7,2.99,147,19.99,"NC-17"
850,11,"Story Side","Zero","Cage",7,0.99,163,27.99,"R"
854,11,"Strangers Graffiti","Zero","Cage",4,4.99,119,22.99,"R"
888,11,"Thin Sagebrush","Zero","Cage",5,4.99,53,9.99,"PG-13"
896,11,"Tootsie Pilot","Zero","Cage",3,0.99,157,10.99,"PG"
928,11,"Uptown Young","Zero","Cage",5,2.99,84,16.99,"PG"
938,11,"Velvet Terminator","Zero","Cage",3,4.99,173,14.99,"R"
969,11,"West Lion","Zero","Cage",4,4.99,159,29.99,"G"
988,11,"Worker Tarzan","Zero","Cage",7,2.99,139,26.99,"R"
16,12,"Alley Evolution","Karl","Berry",6,2.99,180,23.99,"NC-17"
17,12,"Alone Trip","Karl","Berry",3,0.99,82,14.99,"R"
34,12,"Arabia Dogma","Karl","Berry",6,0.99,62,29.99,"NC-17"
37,12,"Arizona Bang","Karl","Berry",3,2.99,121,28.99,"PG"
91,12,"Bound Cheaper","Karl","Berry",5,0.99,98,17.99,"PG"
92,12,"Bowfinger Gables","Karl","Berry",7,4.99,72,19.99,"NC-17"
107,12,"Bunch Minds","Karl","Berry",4,2.99,63,13.99,"G"
155,12,"Cleopatra Devil","Karl","Berry",6,0.99,150,26.99,"PG-13"
177,12,"Connecticut Tramp","Karl","Berry",4,4.99,172,20.99,"R"
208,12,"Dares Pluto","Karl","Berry",7,2.99,89,16.99,"PG-13"
213,12,"Date Speed","Karl","Berry",4,0.99,104,19.99,"R"
216,12,"Day Unfaithful","Karl","Berry",3,4.99,113,16.99,"G"
243,12,"Doors President","Karl","Berry",3,4.99,49,22.99,"NC-17"
344,12,"Fury Murder","Karl","Berry",3,0.99,178,28.99,"PG-13"
400,12,"Hardly Robbers","Karl","Berry",7,2.99,72,15.99,"R"
416,12,"Highball Potter","Karl","Berry",6,0.99,110,10.99,"R"
420,12,"Holes Brannigan","Karl","Berry",7,4.99,128,27.99,"PG"
457,12,"Independence Hotel","Karl","Berry",5,0.99,157,21.99,"NC-17"
513,12,"Leathernecks Dwarfs","Karl","Berry",6,2.99,153,21.99,"PG-13"
540,12,"Lucky Flying","Karl","Berry",7,2.99,97,10.99,"PG-13"
593,12,"Monterey Labyrinth","Karl","Berry",6,0.99,158,13.99,"G"
631,12,"Novocaine Flight","Karl","Berry",4,0.99,64,11.99,"G"
635,12,"Oklahoma Jumanji","Karl","Berry",7,0.99,58,15.99,"PG"
672,12,"Perfect Groove","Karl","Berry",7,2.99,82,17.99,"PG-13"
716,12,"Reap Unfaithful","Karl","Berry",6,2.99,136,26.99,"PG-13"
728,12,"Reunion Witches","Karl","Berry",3,0.99,63,26.99,"R"
812,12,"Smoking Barbarella","Karl","Berry",7,0.99,50,13.99,"PG-13"
838,12,"Stagecoach Armageddon","Karl","Berry",5,4.99,112,25.99,"R"
871,12,"Sweden Shining","Karl","Berry",6,4.99,176,19.99,"PG"
880,12,"Telemark Heartbreakers","Karl","Berry",6,2.99,152,9.99,"PG-13"
945,12,"Virginian Pluto","Karl","Berry",5,0.99,164,22.99,"R"
17,13,"Alone Trip","Uma","Wood",3,0.99,82,14.99,"R"
29,13,"Antitrust Tomatoes","Uma","Wood",5,2.99,168,11.99,"NC-17"
45,13,"Attraction Newton","Uma","Wood",5,4.99,83,14.99,"PG-13"
87,13,"Boondock Ballroom","Uma","Wood",7,0.99,76,14.99,"NC-17"
110,13,"Cabin Flash","Uma","Wood",4,0.99,53,25.99,"NC-17"
144,13,"Chinatown Gladiator","Uma","Wood",7,4.99,61,24.99,"PG"
154,13,"Clash Freddy","Uma","Wood",6,2.99,81,12.99,"G"
162,13,"Clueless Bucket","Uma","Wood",4,2.99,95,13.99,"R"
203,13,"Daisy Menagerie","Uma","Wood",5,4.99,84,9.99,"G"
254,13,"Driver Annie","Uma","Wood",4,2.99,159,11.99,"PG-13"
337,13,"Frida Slipper","Uma","Wood",6,2.99,73,11.99,"R"
346,13,"Galaxy Sweethearts","Uma","Wood",4,4.99,128,13.99,"R"
381,13,"Grinch Massage","Uma","Wood",7,4.99,150,25.99,"R"
385,13,"Groundhog Uncut","Uma","Wood",6,4.99,139,26.99,"PG-13"
427,13,"Homeward Cider","Uma","Wood",5,0.99,103,19.99,"R"
456,13,"Inch Jet","Uma","Wood",6,4.99,167,18.99,"NC-17"
513,13,"Leathernecks Dwarfs","Uma","Wood",6,2.99,153,21.99,"PG-13"
515,13,"Legally Secretary","Uma","Wood",7,4.99,113,14.99,"PG"
522,13,"Life Twisted","Uma","Wood",4,2.99,137,9.99,"NC-17"
524,13,"Lion Uncut","Uma","Wood",6,0.99,50,13.99,"PG"
528,13,"Lolita World","Uma","Wood",4,2.99,155,25.99,"NC-17"
571,13,"Metal Armageddon","Uma","Wood",6,2.99,161,26.99,"PG-13"
588,13,"Model Fish","Uma","Wood",4,4.99,175,11.99,"NC-17"
597,13,"Moonwalker Fool","Uma","Wood",5,4.99,184,12.99,"G"
600,13,"Motions Details","Uma","Wood",5,0.99,166,16.99,"PG"
718,13,"Rebel Airport","Uma","Wood",7,0.99,73,24.99,"G"
729,13,"Rider Caddyshack","Uma","Wood",5,2.99,177,28.99,"PG"
816,13,"Snowman Rollercoaster","Uma","Wood",3,0.99,62,27.99,"G"
817,13,"Soldiers Evolution","Uma","Wood",7,4.99,185,27.99,"R"
832,13,"Splash Gump","Uma","Wood",5,0.99,175,16.99,"PG"
833,13,"Splendor Patton","Uma","Wood",5,0.99,134,20.99,"R"
843,13,"Steel Santa","Uma","Wood",4,4.99,143,15.99,"NC-17"
897,13,"Torque Bound","Uma","Wood",3,4.99,179,27.99,"G"
966,13,"Wedding Apollo","Uma","Wood",3,0.99,70,14.99,"PG"
998,13,"Zhivago Core","Uma","Wood",6,0.99,105,10.99,"NC-17"
154,14,"Clash Freddy","Vivien","Bergen",6,2.99,81,12.99,"G"
187,14,"Cranes Reservoir","Vivien","Bergen",5,2.99,57,12.99,"NC-17"
232,14,"Dirty Ace","Vivien","Bergen",7,2.99,147,29.99,"NC-17"
241,14,"Donnie Alley","Vivien","Bergen",4,0.99,125,20.99,"NC-17"
253,14,"Drifter Commandments","Vivien","Bergen",5,4.99,61,18.99,"PG-13"
255,14,"Driving Polish","Vivien","Bergen",6,4.99,175,21.99,"NC-17"
258,14,"Drums Dynamite","Vivien","Bergen",6,0.99,96,11.99,"PG"
284,14,"Enemy Odds","Vivien","Bergen",5,4.99,77,23.99,"NC-17"
292,14,"Excitement Eve","Vivien","Bergen",3,0.99,51,20.99,"G"
370,14,"Gorgeous Bingo","Vivien","Bergen",4,2.99,108,26.99,"R"
415,14,"High Encino","Vivien","Bergen",3,2.99,84,23.99,"R"
417,14,"Hills Neighbors","Vivien","Bergen",5,0.99,93,29.99,"G"
418,14,"Hobbit Alien","Vivien","Bergen",5,0.99,157,27.99,"PG-13"
454,14,"Impact Aladdin","Vivien","Bergen",6,0.99,180,20.99,"PG-13"
472,14,"Italian African","Vivien","Bergen",3,4.99,174,24.99,"G"
475,14,"Japanese Run","Vivien","Bergen",6,0.99,135,29.99,"G"
495,14,"Kentuckian Giant","Vivien","Bergen",5,2.99,169,10.99,"PG"
536,14,"Lovely Jingle","Vivien","Bergen",3,2.99,65,18.99,"PG"
537,14,"Lover Truman","Vivien","Bergen",3,2.99,75,29.99,"G"
